company,tier,year,doc_type,source_type,filename,filepath,status
AXA,A,2023,Annual Report,Company investor relations,AXA annual report 2023.pdf,data/raw/reports/AXA annual report 2023.pdf,OK
AXA,A,2024,Annual Report,Company investor relations,AXA annual report 2024.pdf,data/raw/reports/AXA annual report 2024.pdf,OK
AXA,A,2025,Annual Report,Company investor relations,AXA annual report 2025.pdf,data/raw/reports/AXA annual report 2025.pdf,OK
Allianz,A,2023,Annual Report,Company investor relations,Allianz annual report 2023.pdf,data/raw/reports/Allianz annual report 2023.pdf,OK
Allianz,A,2024,Annual Report,Company investor relations,Allianz annual report 2024.pdf,data/raw/reports/Allianz annual report 2024.pdf,OK
Allianz,A,2025,Annual Report,Company investor relations,Allianz annual report 2025.pdf,data/raw/reports/Allianz annual report 2025.pdf,OK
Aviva,A,2023,Annual Report,Company investor relations,aviva annual report 2023.pdf,data/raw/reports/aviva annual report 2023.pdf,OK
Aviva,A,2024,Annual Report,Company investor relations,aviva annual report 2024.pdf,data/raw/reports/aviva annual report 2024.pdf,OK
Aviva,A,2025,Annual Report,Company investor relations,aviva annual report 2025.pdf,data/raw/reports/aviva annual report 2025.pdf,OK
Generali,A,2023,Annual Report,Company investor relations,Generali Annual Report and Consolidated Financial Statements 2023.pdf,data/raw/reports/Generali Annual Report and Consolidated Financial Statements 2023.pdf,OK
Generali,A,2024,Annual Report,Company investor relations,Generali Annual Report and Consolidated Financial Statements 2024.pdf,data/raw/reports/Generali Annual Report and Consolidated Financial Statements 2024.pdf,OK
Generali,A,2025,Annual Report,Company investor relations,generali 2025 annual report.pdf,data/raw/reports/generali 2025 annual report.pdf,OK
Mapfre,A,2023,Annual Report,Company investor relations,mapfre 2023 annual report.pdf,data/raw/reports/mapfre 2023 annual report.pdf,OK
Mapfre,A,2024,Annual Report,Company investor relations,mapfre 2024 annual report.pdf,data/raw/reports/mapfre 2024 annual report.pdf,OK
Mapfre,A,2025,Annual Report,Company investor relations,mapfre 2025 annual report.pdf,data/raw/reports/mapfre 2025 annual report.pdf,OK
Munich Re,A,2023,Annual Report,Company investor relations,Munich Re 2023 annual report.pdf,data/raw/reports/Munich Re 2023 annual report.pdf,OK
Munich Re,A,2024,Annual Report,Company investor relations,Munich Re 2024 annual report.pdf,data/raw/reports/Munich Re 2024 annual report.pdf,OK
Munich Re,A,2025,Annual Report,Company investor relations,Munich Re 2025 annual report.pdf,data/raw/reports/Munich Re 2025 annual report.pdf,OK
NN Group,A,2023,Annual Report,Company investor relations,nn group annual report 2023.pdf,data/raw/reports/nn group annual report 2023.pdf,OK
NN Group,A,2024,Annual Report,Company investor relations,nn group annual report 2024.pdf,data/raw/reports/nn group annual report 2024.pdf,OK
NN Group,A,2025,Annual Report,Company investor relations,nn group annual report 2025.pdf,data/raw/reports/nn group annual report 2025.pdf,OK
Swiss Re,A,2023,Annual Report,Company investor relations,swiss re annual report 2023.pdf,data/raw/reports/swiss re annual report 2023.pdf,OK
Swiss Re,A,2024,Annual Report,Company investor relations,swiss re 2024 annual report.pdf,data/raw/reports/swiss re 2024 annual report.pdf,OK
Swiss Re,A,2025,Annual Report,Company investor relations,swiss re 2025 annual report.pdf,data/raw/reports/swiss re 2025 annual report.pdf,OK
Talanx,A,2023,Annual Report,Company investor relations,talanx 2023 annual report.pdf,data/raw/reports/talanx 2023 annual report.pdf,OK
Talanx,A,2024,Annual Report,Company investor relations,talanx 2024 annual report.pdf,data/raw/reports/talanx 2024 annual report.pdf,OK
Talanx,A,2025,Annual Report,Company investor relations,talanx 2025 annual report.pdf,data/raw/reports/talanx 2025 annual report.pdf,OK
Unipol,A,2023,Annual Report,Company investor relations,unipol annual report 2023.pdf,data/raw/reports/unipol annual report 2023.pdf,OK
Unipol,A,2024,Annual Report,Company investor relations,unipol annual report 2024_def.pdf,data/raw/reports/unipol annual report 2024_def.pdf,OK
Unipol,A,2025,Annual Report,Company investor relations,unipol annual report 2025.pdf,data/raw/reports/unipol annual report 2025.pdf,OK
Zurich,A,2023,Annual Report,Company investor relations,zurich insurance group 2023 annual report.pdf,data/raw/reports/zurich insurance group 2023 annual report.pdf,OK
Zurich,A,2024,Annual Report,Company investor relations,Zurich Insurance Group 2024 annual report.pdf,data/raw/reports/Zurich Insurance Group 2024 annual report.pdf,OK
Zurich,A,2025,Annual Report,Company investor relations,Zurich Insurance Group 2025 annual report.pdf,data/raw/reports/Zurich Insurance Group 2025 annual report.pdf,OK
Admiral,B,2023,Annual Report,Company investor relations,Admiral Group 2023 annual report.pdf,data/raw/reports/Admiral Group 2023 annual report.pdf,OK
Admiral,B,2024,Annual Report,Company investor relations,Admiral Group 2024 annual report.pdf,data/raw/reports/Admiral Group 2024 annual report.pdf,OK
Admiral,B,2025,Annual Report,Company investor relations,Admiral Group 2025 annual report.pdf,data/raw/reports/Admiral Group 2025 annual report.pdf,OK
Ageas,B,2023,Annual Report,Company investor relations,ageas 2023 annual report.pdf,data/raw/reports/ageas 2023 annual report.pdf,OK
Ageas,B,2024,Annual Report,Company investor relations,ageas 2024 annual report.pdf,data/raw/reports/ageas 2024 annual report.pdf,OK
Ageas,B,2025,Annual Report,Company investor relations,ageas 2025 annual report.pdf,data/raw/reports/ageas 2025 annual report.pdf,OK
Beazley,B,2023,Annual Report,Company investor relations,beazley annual report 2023 final.pdf,data/raw/reports/beazley annual report 2023 final.pdf,OK
Beazley,B,2024,Annual Report,Company investor relations,beazley annual report 2024.pdf,data/raw/reports/beazley annual report 2024.pdf,OK
Beazley,B,2025,Annual Report,Company investor relations,beazley annual report 2025.pdf,data/raw/reports/beazley annual report 2025.pdf,OK
Gjensidige,B,2023,Annual Report,Company investor relations,Gjensidige Annual report 2023.pdf,data/raw/reports/Gjensidige Annual report 2023.pdf,OK
