company,tier,year,doc_type,filename,tokens,agentic_share_of_automation,raw_agentic,raw_prior_gen_automation,dim_role_evolution_per10k,dim_tech_stack_per10k,dim_governance_per10k,stage_assisted,stage_augmented,stage_frontier,automation_depth_distribution_per10k,automation_depth_underwriting_per10k,automation_depth_pricing_actuarial_per10k,automation_depth_claims_per10k,automation_depth_servicing_per10k,automation_depth_billing_per10k
AXA,A,2023,Annual Report,AXA annual report 2023.pdf,298560,0.56,20,16,2.48,2.58,3.11,469,45,16,0.03,0.0,0.03,0.0,0.0,0.0
AXA,A,2024,Annual Report,AXA annual report 2024.pdf,286962,0.68,23,11,2.68,2.51,3.87,581,49,14,0.0,0.0,0.0,0.0,0.21,0.03
AXA,A,2025,Annual Report,AXA annual report 2025.pdf,550822,0.79,83,22,2.6,2.94,3.99,1017,130,41,0.07,0.07,0.18,0.04,0.18,0.0
Admiral,B,2023,Annual Report,Admiral Group 2023 annual report.pdf,176269,0.3,3,7,0.85,1.48,0.96,307,28,43,0.0,0.06,0.0,0.0,0.0,0.0
Admiral,B,2024,Annual Report,Admiral Group 2024 annual report.pdf,158233,0.95,18,1,1.01,2.72,1.07,296,38,27,0.0,0.13,0.06,0.0,0.19,0.0
Admiral,B,2025,Annual Report,Admiral Group 2025 annual report.pdf,164189,0.92,45,4,2.01,1.77,2.8,290,43,49,0.18,0.18,0.18,0.24,0.12,0.0
Allianz,A,2023,Annual Report,Allianz annual report 2023.pdf,180868,0.68,13,6,1.38,4.37,2.76,269,34,19,0.0,0.0,0.0,0.0,0.0,0.0
Allianz,A,2024,Annual Report,Allianz annual report 2024.pdf,232514,0.85,17,3,1.03,5.12,2.58,408,31,25,0.0,0.0,0.04,0.0,0.0,0.0
Allianz,A,2025,Annual Report,Allianz annual report 2025.pdf,229217,0.7,7,3,1.22,5.06,2.75,425,27,24,0.0,0.0,0.0,0.0,0.0,0.0
Coface,C,2023,Annual Report,COFACE 2023 financial annual report.pdf,208484,0.0,0,4,0.86,2.54,1.3,238,21,2,0.0,0.0,0.0,0.0,0.0,0.0
Coface,C,2024,Annual Report,COFACE 2024 financial annual report.pdf,254003,0.0,0,5,1.65,2.68,2.99,386,18,2,0.0,0.0,0.0,0.0,0.0,0.0
Coface,C,2025,Annual Report,COFACE 2025 financial annual report.pdf,269279,0.0,0,4,2.04,2.67,3.23,430,24,5,0.0,0.0,0.0,0.0,0.0,0.0
Generali,A,2023,Annual Report,Generali Annual Report and Consolidated Financial Statements 2023.pdf,218322,0.65,15,8,2.06,16.4,1.79,260,35,12,0.32,0.0,0.0,0.09,0.27,0.0
Generali,A,2024,Annual Report,Generali Annual Report and Consolidated Financial Statements 2024.pdf,241444,0.47,8,9,3.06,13.75,1.86,434,27,16,0.0,0.0,0.0,0.0,0.08,0.0
Gjensidige,B,2023,Annual Report,Gjensidige Annual report 2023.pdf,219898,0.0,0,2,0.55,2.27,0.82,305,10,6,0.0,0.0,0.0,0.27,0.0,0.0
