company,total_job_titles,postings_with_no_description,total_signal_hits,avg_signals_per_posting,distinct_phrases_found,top_phrases
Allianz,1138,0,6045,5.31,249,"ai (1109), fairness (350), ia (343), intelligence artificielle (285), copilot (245), explore (238), automation (233), artificial intelligence (207)"
Generali,245,0,1460,5.96,172,"ai (350), automation (88), copilot (63), ml (47), integration (47), continuous learning (40), testing (39), end-to-end (32)"
Swiss Re,138,0,1287,9.33,124,"ai (365), evaluation (131), data privacy (125), end-to-end (65), automation (47), testing (43), integration (42), assess (22)"
NN Group,62,0,629,10.15,85,"ai (105), testing (50), api (43), automation (39), integration (36), apis (32), databricks (25), copilot (23)"
Zego,32,0,475,14.84,49,"ai (218), experiment (32), claude (27), ai assistant (25), zapier (25), transparency (20), testing (13), end to end (11)"
Hiscox,79,0,434,5.49,105,"ai (59), automation (26), end-to-end (19), copilot (19), machine learning (17), integration (13), evaluate (10), assess (10)"
Unipol,113,0,321,2.84,41,"ai (222), automazione (11), intelligenza artificiale (9), machine learning (8), testing (8), data governance (7), copilot (6), artificial intelligence (5)"
Talanx,160,0,304,1.9,69,"ai (47), ki (43), copilot (33), integration (29), automatisierung (18), end-to-end (14), automation (11), testing (8)"
Admiral,31,1,226,7.29,57,"integration (29), guidewire (26), model validation (14), ai (14), end-to-end (12), testing (11), automation (9), experimentation (8)"
Wakam,13,0,193,14.85,47,"ai (46), explore (28), ai agents (14), genai (12), automation (10), embedded (7), end-to-end (7), apis (6)"
Coface,83,0,185,2.23,55,"api (19), ai (17), ki (17), integration (14), apis (13), end-to-end (7), expanding (7), automation (6)"
Zurich,56,0,161,2.88,49,"ai (24), explore (18), assessment (14), integration (8), model validation (8), assessing (7), databricks (6), assess (6)"
Sampo,57,0,161,2.82,47,"ai (28), automation (14), integrations (11), integration (11), guidewire (8), end-to-end (7), core systems (6), apis (6)"
AXA,467,0,158,0.34,38,"ia (64), intelligence artificielle (13), agentique (6), guidewire (6), automatisation (6), api (5), supervision (4), pilot (4)"
Marshmallow,13,0,132,10.15,47,"ai (19), scaling (16), automation (8), machine learning (6), data scientists (6), end-to-end (5), generative ai (4), experimentation (4)"
Gjensidige,17,0,123,7.24,26,"ai (52), ml (12), generativ ai (9), automatisering (8), databricks (5), språkmodeller (5), data scientists (3), testing (3)"
Ageas,14,0,99,7.07,26,"ai (12), data engineer (12), machine learning (9), integration (7), ml (6), databricks (6), predictive modelling (5), end-to-end (4)"
Mapfre,40,0,89,2.23,30,"ia (22), automation (9), ia generativa (8), automatización (8), ml (6), inteligencia artificial (5), apis (5), copilot (3)"
VIG,22,0,82,3.73,35,"databricks (8), testing (7), automated (5), integration (5), ai (4), orchestration (4), observability (4), learning and development (4)"
Beazley,24,0,70,2.92,31,"explore (8), evaluate (7), automation (7), fairness (6), supervise (5), model documentation (3), end-to-end (2), investigate (2)"
Aviva,25,0,45,1.8,20,"ai (17), assess (5), machine learning (3), investigating (2), end to end (2), at scale (2), data scientist (2), testing (2)"
Lemonade,4,0,40,10.0,16,"ai (20), exploring (3), expansion (3), at scale (2), investigate (1), core systems (1), api (1), use cases (1)"
Alm Brand Group,8,0,35,4.38,11,"ai (12), evaluate (8), transparency (4), automation (3), assessment (2), continuous learning (1), evaluating (1), integrations (1)"
Helvetia Baloise,105,0,33,0.31,16,"ki (4), integration (4), expansion (3), testing (3), apis (3), ai (3), agentic (2), evaluation (2)"
Munich Re,8,0,31,3.88,20,"continuous learning (4), end-to-end (3), escalation (3), ai (2), assessment (2), fairness (2), automation (2), databricks (2)"
Tryg,12,0,27,2.25,17,"data engineer (4), databricks (3), data pipelines (3), kafka (3), integrations (2), ai (1), ml (1), data scientist (1)"
Linea Directa Aseguradora,5,0,26,5.2,15,"ai (7), generative ai (4), assessment (3), evaluate (2), exploration (1), artificial intelligence (1), autonomous agent (1), automated (1)"
Bolttech,2,0,10,5.0,5,"rpa (2), ai (2), testing (2), end to end (2), api (2)"
Neodigital,11,0,5,0.45,3,"end-to-end (2), automatisierung (2), ki (1)"
