company,country,category,phrase,count
AXA,France,agentic,ia,14
AXA,France,agentic,agentique,6
AXA,France,agentic,ia agentique,3
AXA,France,agentic,ia générative,2
AXA,France,agentic,ml,2
AXA,France,agentic,ia embarquée,1
AXA,France,agentic,ia frugale,1
AXA,France,agentic,genai,1
AXA,France,agentic,machine learning,1
AXA,France,agentic,chatbot,1
AXA,France,agentic,agentic,1
AXA,France,automation_not_agentic,ia,50
AXA,France,automation_not_agentic,intelligence artificielle,13
AXA,France,automation_not_agentic,automatisation,6
AXA,France,automation_not_agentic,automate,4
AXA,France,automation_not_agentic,automation,3
AXA,France,automation_not_agentic,rpa,3
AXA,France,automation_not_agentic,ai,2
AXA,France,automation_not_agentic,automatisé,1
AXA,France,automation_not_agentic,macro,1
AXA,France,automation_not_agentic,automates,1
AXA,France,governance__governance_terms,data governance,1
AXA,France,maturity__assisted,pilot,4
AXA,France,maturity__assisted,assess,3
AXA,France,maturity__assisted,testing,2
AXA,France,maturity__assisted,explore,1
AXA,France,maturity__augmented,use case,2
AXA,France,maturity__augmented,use cases,1
AXA,France,maturity__frontier,autonomously,1
AXA,France,maturity__frontier,end-to-end,1
AXA,France,maturity__frontier,autonomous,1
AXA,France,role_evolution__ai_role_titles,data scientist,2
AXA,France,role_evolution__oversight_language,supervision,4
AXA,France,role_evolution__oversight_language,human-in-the-loop,1
AXA,France,tech_stack__agentic_platform,databricks,4
AXA,France,tech_stack__agentic_platform,langchain,2
AXA,France,tech_stack__connectors,api,5
AXA,France,tech_stack__core_systems,guidewire,6
Admiral,United Kingdom,agentic,ai,8
Admiral,United Kingdom,agentic,genai,3
Admiral,United Kingdom,agentic,generative ai,2
Admiral,United Kingdom,agentic,large language models,1
Admiral,United Kingdom,automation_not_agentic,automation,9
Admiral,United Kingdom,automation_not_agentic,ai,6
Admiral,United Kingdom,automation_not_agentic,automated,2
Admiral,United Kingdom,automation_not_agentic,automate,1
Admiral,United Kingdom,governance__governance_terms,model validation,7
Admiral,United Kingdom,governance__governance_terms,transparency,2
Admiral,United Kingdom,governance__governance_terms,model risk,2
Admiral,United Kingdom,governance__governance_terms,data governance,1
Admiral,United Kingdom,governance__governance_terms,model risk management,1
Admiral,United Kingdom,governance__governance_terms,responsible ai,1
Admiral,United Kingdom,governance__governance_terms,gdpr,1
Admiral,United Kingdom,maturity__assisted,testing,11
Admiral,United Kingdom,maturity__assisted,experimentation,8
Admiral,United Kingdom,maturity__assisted,explore,5
Admiral,United Kingdom,maturity__assisted,assessing,4
Admiral,United Kingdom,maturity__assisted,assessment,4
Admiral,United Kingdom,maturity__assisted,assess,4
Admiral,United Kingdom,maturity__assisted,experiment,3
Admiral,United Kingdom,maturity__assisted,evaluating,2
Admiral,United Kingdom,maturity__assisted,investigate,2
Admiral,United Kingdom,maturity__assisted,evaluation,1
Admiral,United Kingdom,maturity__assisted,evaluate,1
Admiral,United Kingdom,maturity__assisted,experimenting,1
Admiral,United Kingdom,maturity__assisted,exploring,1
Admiral,United Kingdom,maturity__augmented,scaling,2
Admiral,United Kingdom,maturity__augmented,expand,1
Admiral,United Kingdom,maturity__augmented,expanding,1
Admiral,United Kingdom,maturity__frontier,end-to-end,12
Admiral,United Kingdom,maturity__frontier,embedded,3
Admiral,United Kingdom,maturity__frontier,embedded across,1
Admiral,United Kingdom,maturity__frontier,autonomously,1
Admiral,United Kingdom,maturity__frontier,enterprise-wide,1
Admiral,United Kingdom,role_evolution__oversight_language,escalation,5
Admiral,United Kingdom,role_evolution__oversight_language,supervision,1
Admiral,United Kingdom,role_evolution__oversight_language,guardrails,1
Admiral,United Kingdom,role_evolution__reskilling_culture,continuous learning,5
Admiral,United Kingdom,role_evolution__reskilling_culture,learning and development,2
Admiral,United Kingdom,role_evolution__reskilling_culture,change management,2
Admiral,United Kingdom,role_evolution__reskilling_culture,upskill,1
Admiral,United Kingdom,role_evolution__reskilling_culture,upskilling,1
Admiral,United Kingdom,tech_stack__connectors,integration,29
Admiral,United Kingdom,tech_stack__connectors,api,6
Admiral,United Kingdom,tech_stack__connectors,integrations,6
Admiral,United Kingdom,tech_stack__connectors,event-driven,5
Admiral,United Kingdom,tech_stack__connectors,apis,5
Admiral,United Kingdom,tech_stack__connectors,orchestration,1
Admiral,United Kingdom,tech_stack__connectors,mulesoft,1
Admiral,United Kingdom,tech_stack__connectors,kafka,1
Admiral,United Kingdom,tech_stack__connectors,rest api,1
Admiral,United Kingdom,tech_stack__core_systems,guidewire,26
Admiral,United Kingdom,tech_stack__core_systems,guidewire cloud,1
Admiral,United Kingdom,tech_stack__governance_layer,model validation,7
Admiral,United Kingdom,tech_stack__governance_layer,observability,3
Ageas,England,agentic,generative ai,1
Ageas,England,agentic,genai,1
Ageas,England,agentic,ai,1
Ageas,England,agentic,ml,1
Ageas,England,automation_not_agentic,ai,3
Ageas,England,automation_not_agentic,machine learning,1
Ageas,England,automation_not_agentic,ml,1
Ageas,England,maturity__assisted,experiment,1
Ageas,England,role_evolution__ai_role_titles,data engineer,4
Ageas,England,role_evolution__ai_role_titles,ai engineers,1
Ageas,England,tech_stack__agentic_platform,databricks,2
Ageas,England,tech_stack__connectors,data pipelines,1
Ageas,England,tech_stack__connectors,orchestration,1
Ageas,England,tech_stack__connectors,integrations,1
Ageas,United Kingdom,agentic,generative ai,2
Ageas,United Kingdom,agentic,genai,2
Ageas,United Kingdom,agentic,ai,2
Ageas,United Kingdom,agentic,ml,2
Ageas,United Kingdom,automation_not_agentic,machine learning,8
Ageas,United Kingdom,automation_not_agentic,ai,6
Ageas,United Kingdom,automation_not_agentic,predictive modelling,5
Ageas,United Kingdom,automation_not_agentic,ml,2
Ageas,United Kingdom,automation_not_agentic,neural networks,2
Ageas,United Kingdom,governance__governance_terms,data governance,1
Ageas,United Kingdom,maturity__assisted,testing,3
Ageas,United Kingdom,maturity__assisted,explore,3
Ageas,United Kingdom,maturity__assisted,experiment,2
Ageas,United Kingdom,maturity__assisted,assess,2
Ageas,United Kingdom,maturity__assisted,investigate,1
Ageas,United Kingdom,maturity__augmented,assisting,2
Ageas,United Kingdom,maturity__frontier,end-to-end,4
Ageas,United Kingdom,role_evolution__ai_role_titles,data engineer,8
Ageas,United Kingdom,role_evolution__ai_role_titles,ai engineers,2
Ageas,United Kingdom,role_evolution__reskilling_culture,new ways of working,1
Ageas,United Kingdom,tech_stack__agentic_platform,databricks,4
Ageas,United Kingdom,tech_stack__connectors,integration,7
Ageas,United Kingdom,tech_stack__connectors,data pipelines,2
Ageas,United Kingdom,tech_stack__connectors,orchestration,2
Ageas,United Kingdom,tech_stack__connectors,integrations,2
Ageas,United Kingdom,tech_stack__connectors,integrated,2
Allianz,Austria,agentic,ai,3
Allianz,Austria,agentic,ki,1
Allianz,Austria,agentic,genai,1
Allianz,Austria,agentic,machine-learning,1
Allianz,Austria,agentic,nlp,1
Allianz,Austria,agentic,artificial intelligence,1
Allianz,Austria,automation_not_agentic,künstliche intelligenz,5
Allianz,Austria,automation_not_agentic,automatisierung,4
Allianz,Austria,automation_not_agentic,ai,3
Allianz,Austria,automation_not_agentic,maschinelles lernen,1
Allianz,Austria,automation_not_agentic,ki,1
Allianz,Austria,automation_not_agentic,machine learning,1
Allianz,Austria,governance__governance_terms,fairness,8
Allianz,Austria,maturity__assisted,explore,1
Allianz,Austria,role_evolution__ai_role_titles,data scientist,1
Allianz,Austria,role_evolution__ai_role_titles,data engineers,1
Allianz,Austria,role_evolution__oversight_language,escalate,1
Allianz,Austria,tech_stack__connectors,integration,1
Allianz,Belgium,agentic,automation,4
Allianz,Belgium,agentic,workflow automation,1
Allianz,Belgium,automation_not_agentic,ai,29
Allianz,Belgium,automation_not_agentic,automation,18
Allianz,Belgium,automation_not_agentic,artificial intelligence,4
Allianz,Belgium,automation_not_agentic,automate,2
Allianz,Belgium,automation_not_agentic,machine learning,2
Allianz,Belgium,automation_not_agentic,automated,1
Allianz,Belgium,automation_not_agentic,automating,1
Allianz,Belgium,automation_not_agentic,predictive modelling,1
Allianz,Belgium,automation_not_agentic,rpa,1
Allianz,Belgium,automation_not_agentic,automation solutions,1
Allianz,Belgium,automation_not_agentic,ml,1
Allianz,Belgium,governance__governance_terms,fairness,6
Allianz,Belgium,governance__governance_terms,data governance,1
Allianz,Belgium,governance__governance_terms,transparency,1
Allianz,Belgium,maturity__assisted,explore,7
Allianz,Belgium,maturity__assisted,assess,6
Allianz,Belgium,maturity__assisted,assessment,5
Allianz,Belgium,maturity__assisted,testing,2
Allianz,Belgium,maturity__assisted,evaluation,2
Allianz,Belgium,maturity__assisted,evaluate,2
Allianz,Belgium,maturity__assisted,assessing,1
Allianz,Belgium,maturity__assisted,investigate,1
Allianz,Belgium,maturity__augmented,expanding,3
Allianz,Belgium,maturity__augmented,expansion,2
Allianz,Belgium,maturity__augmented,expand,2
Allianz,Belgium,maturity__frontier,end-to-end,4
Allianz,Belgium,maturity__frontier,autonomously,3
Allianz,Belgium,role_evolution__oversight_language,supervise,1
Allianz,Belgium,role_evolution__oversight_language,escalations,1
Allianz,Belgium,role_evolution__reskilling_culture,change management,2
Allianz,Belgium,tech_stack__connectors,orchestration,1
Allianz,Belgium,tech_stack__connectors,integration,1
Allianz,Belgium,tech_stack__connectors,integrated,1
Allianz,Belgium,tech_stack__connectors,integrations,1
Allianz,Bulgaria,agentic,ai,18
Allianz,Bulgaria,agentic,copilot,12
Allianz,Bulgaria,agentic,generative ai,1
Allianz,Bulgaria,agentic,automate,1
Allianz,Bulgaria,automation_not_agentic,ai,5
Allianz,Bulgaria,automation_not_agentic,automated,3
Allianz,Bulgaria,automation_not_agentic,automation,2
Allianz,Bulgaria,automation_not_agentic,artificial intelligence,1
Allianz,Bulgaria,automation_not_agentic,machine learning,1
Allianz,Bulgaria,governance__governance_terms,fairness,10
Allianz,Bulgaria,governance__governance_terms,audit trail,1
Allianz,Bulgaria,maturity__assisted,explore,10
Allianz,Bulgaria,maturity__assisted,assess,5
Allianz,Bulgaria,maturity__assisted,assessment,2
Allianz,Bulgaria,maturity__assisted,investigate,1
Allianz,Bulgaria,maturity__assisted,evaluate,1
Allianz,Bulgaria,maturity__augmented,copilot,13
Allianz,Bulgaria,maturity__augmented,assisting,2
Allianz,Bulgaria,maturity__frontier,autonomous,1
Allianz,Bulgaria,maturity__frontier,end-to-end,1
Allianz,Bulgaria,role_evolution__oversight_language,escalate,3
Allianz,Bulgaria,role_evolution__oversight_language,escalation,1
Allianz,Bulgaria,role_evolution__oversight_language,escalated,1
Allianz,Bulgaria,tech_stack__agentic_platform,copilot,13
Allianz,Croatia,automation_not_agentic,ai,3
Allianz,Croatia,maturity__frontier,end-to-end,1
Allianz,Czechia,agentic,ai,12
Allianz,Czechia,agentic,copilot,10
Allianz,Czechia,automation_not_agentic,ai,12
Allianz,Czechia,governance__governance_terms,fairness,3
Allianz,Czechia,maturity__assisted,explore,3
Allianz,Czechia,maturity__assisted,testing,3
Allianz,Czechia,maturity__augmented,copilot,10
Allianz,Czechia,maturity__frontier,end-to-end,4
Allianz,Czechia,tech_stack__agentic_platform,copilot,10
Allianz,Czechia,tech_stack__agentic_platform,genlab ai,7
Allianz,Czechia,tech_stack__agentic_platform,microsoft copilot,6
Allianz,Czechia,tech_stack__agentic_platform,allianz gpt,4
Allianz,Czechia,tech_stack__connectors,integration,1
Allianz,Denmark,automation_not_agentic,ai,1
Allianz,Denmark,governance__governance_terms,fairness,1
Allianz,Denmark,maturity__assisted,evaluate,1
Allianz,Denmark,maturity__assisted,explore,1
Allianz,Denmark,maturity__assisted,assess,1
Allianz,Denmark,tech_stack__core_systems,policy administration,1
Allianz,England,automation_not_agentic,ai,1
Allianz,England,governance__governance_terms,responsible artificial intelligence,1
Allianz,England,tech_stack__connectors,integrated,1
Allianz,France,agentic,ai,9
Allianz,France,agentic,ia,5
Allianz,France,agentic,copilot,4
Allianz,France,agentic,ia générative,3
Allianz,France,agentic,agentic,3
Allianz,France,agentic,automation,2
Allianz,France,agentic,intelligence artificielle,2
Allianz,France,agentic,genai,1
Allianz,France,agentic,workflow automation,1
Allianz,France,agentic,generative ai,1
Allianz,France,agentic,agentic workflow,1
Allianz,France,agentic,ai agents,1
Allianz,France,agentic,agentic ai,1
Allianz,France,agentic,automate,1
Allianz,France,automation_not_agentic,ia,297
Allianz,France,automation_not_agentic,intelligence artificielle,280
Allianz,France,automation_not_agentic,ai,68
Allianz,France,automation_not_agentic,artificial intelligence,14
Allianz,France,automation_not_agentic,machine learning,9
Allianz,France,automation_not_agentic,automatisation,6
Allianz,France,automation_not_agentic,automation,5
Allianz,France,automation_not_agentic,macro,3
Allianz,France,automation_not_agentic,automatiser,2
Allianz,France,automation_not_agentic,macros,2
Allianz,France,automation_not_agentic,rpa,1
Allianz,France,automation_not_agentic,automate,1
Allianz,France,automation_not_agentic,apprentissage automatique,1
Allianz,France,automation_not_agentic,algorithme,1
Allianz,France,governance__governance_terms,data governance,10
Allianz,France,governance__governance_terms,fairness,10
Allianz,France,governance__governance_terms,human oversight,7
Allianz,France,governance__governance_terms,ethical ai,7
Allianz,France,governance__governance_terms,responsible ai,1
Allianz,France,governance__governance_terms,transparency,1
Allianz,France,governance__governance_terms,auditability,1
Allianz,France,maturity__assisted,explore,15
Allianz,France,maturity__assisted,assessment,7
Allianz,France,maturity__assisted,testing,4
Allianz,France,maturity__assisted,assess,2
Allianz,France,maturity__assisted,experiment,1
Allianz,France,maturity__augmented,copilot,4
Allianz,France,maturity__augmented,use cases,3
Allianz,France,maturity__augmented,expansion,1
Allianz,France,maturity__augmented,scaling,1
Allianz,France,maturity__frontier,end-to-end,4
Allianz,France,maturity__frontier,autonomous,2
Allianz,France,maturity__frontier,embedded,1
Allianz,France,role_evolution__oversight_language,human oversight,7
Allianz,France,role_evolution__oversight_language,supervision,7
Allianz,France,role_evolution__reskilling_culture,learning and development,6
Allianz,France,role_evolution__reskilling_culture,change management,3
Allianz,France,role_evolution__reskilling_culture,ai skills,2
Allianz,France,role_evolution__reskilling_culture,continuous learning,1
Allianz,France,tech_stack__agentic_platform,databricks,4
Allianz,France,tech_stack__agentic_platform,copilot,4
Allianz,France,tech_stack__agentic_platform,microsoft copilot,2
Allianz,France,tech_stack__agentic_platform,gemini,2
Allianz,France,tech_stack__agentic_platform,claude,2
Allianz,France,tech_stack__connectors,integration,5
Allianz,France,tech_stack__connectors,zapier,2
Allianz,France,tech_stack__connectors,apis,2
Allianz,France,tech_stack__connectors,api,2
Allianz,France,tech_stack__connectors,data pipelines,1
Allianz,France,tech_stack__connectors,integrated,1
Allianz,France,tech_stack__connectors,orchestration,1
Allianz,Germany,agentic,ai,111
Allianz,Germany,agentic,künstliche intelligenz,51
Allianz,Germany,agentic,copilot,28
Allianz,Germany,agentic,generative ai,24
