company,country,region,is_english,job_title,signal_count,distinct_phrases,phrases_found
Admiral,United Kingdom,UK,yes,Staff Engineer,11,8,api; automated; automation; data governance; guidewire; integration; testing; transparency
Admiral,United Kingdom,UK,yes,Group Head of Validation,18,6,assessing; continuous learning; model risk; model risk management; model validation; testing
Admiral,United Kingdom,UK,yes,Technical Medical Claims Manager - Travel,2,2,assessing; continuous learning
Admiral,United Kingdom,UK,yes,Pricing & Underwriting Risk Senior Manager,8,5,assess; assessment; embedded; embedded across; escalation
Admiral,United Kingdom,UK,yes,Senior SRE Engineer,11,7,api; automate; automation; guidewire; observability; orchestration; testing
Admiral,United Kingdom,UK,yes,GenAI Senior Product Lead (Transformation),18,8,ai; end-to-end; experimentation; genai; generative ai; guidewire; large language models; responsible ai
Admiral,United Kingdom,UK,yes,Solution Architect - Guidewire,49,16,ai; api; apis; assess; end-to-end; evaluate; evaluating; evaluation; event-driven; genai; guidewire; guidewire cloud; integration; integrations; kafka; mulesoft
Admiral,United Kingdom,UK,yes,Solution Architect - Digital Platforms,9,1,integration
Admiral,United Kingdom,UK,yes,Solution Architect - Claims,18,7,api; apis; end-to-end; event-driven; gdpr; guidewire; integration
Admiral,United Kingdom,UK,yes,Senior Genesys Engineer,6,6,ai; api; apis; automation; integration; rest api
Admiral,United Kingdom,UK,yes,Broker Sales Executive - Speculative Vacancy,1,1,integrations
Admiral,United Kingdom,UK,yes,Head of Actuarial,4,4,assessing; assessment; end-to-end; experimenting
Admiral,United Kingdom,UK,yes,Credit Oversight Lead,2,2,assessment; explore
Admiral,United Kingdom,UK,yes,Engineering Manager,3,3,continuous learning; experiment; scaling
Admiral,United Kingdom,UK,yes,Customer Accounts Representative,2,2,expand; explore
Admiral,United Kingdom,UK,yes,Senior Capital Actuary,3,3,assessing; end-to-end; testing
Admiral,United Kingdom,UK,yes,Senior Pricing Analyst,5,4,end-to-end; investigate; model validation; testing
Admiral,United Kingdom,UK,yes,Do you have Landlord Insurance Experience? Register your interest!,1,1,scaling
Admiral,United Kingdom,UK,yes,Principal Product Manager - Retention,10,6,ai; continuous learning; experiment; experimentation; explore; learning and development
Admiral,United Kingdom,UK,yes,Principal Product Manager - Growth,9,7,ai; autonomously; end-to-end; experiment; experimentation; explore; learning and development
Admiral,United Kingdom,UK,yes,Senior Data Engineer,7,5,automation; change management; integration; investigate; upskill
Admiral,United Kingdom,UK,unknown,Change & Technology Audit Manager,0,0,
Admiral,United Kingdom,UK,yes,Senior Software Licensing Specialist,8,6,automation; embedded; end-to-end; enterprise-wide; escalation; supervision
Admiral,United Kingdom,UK,yes,Pricing Manager - Travel,5,5,change management; end-to-end; evaluating; expanding; exploring
Admiral,United Kingdom,UK,yes,Loans Executive,1,1,explore
Admiral,United Kingdom,UK,yes,Senior Cyber Analyst,2,2,continuous learning; escalation
Admiral,United Kingdom,UK,yes,Power Apps Engineer,2,2,integrations; testing
Admiral,United Kingdom,UK,yes,Collections Executive,0,0,
Admiral,United Kingdom,UK,yes,Motor Underwriter,1,1,assess
Admiral,United Kingdom,UK,yes,Broker Sales Executive,2,1,integrations
Admiral,United Kingdom,UK,yes,Squad Lead (16 month secondment),8,7,automated; embedded; guardrails; integration; testing; transparency; upskilling
Ageas,England,UK,yes,Data Engineer,20,12,ai; ai engineers; data engineer; data pipelines; databricks; experiment; genai; generative ai; integrations; machine learning; ml; orchestration
Ageas,United Kingdom,UK,yes,Market Pricing Manager,4,4,data governance; databricks; machine learning; predictive modelling
Ageas,United Kingdom,UK,yes,Lead Risk Pricing Analyst - Non-Standard Motor,3,3,databricks; machine learning; predictive modelling
Ageas,United Kingdom,UK,yes,Senior Expense Business Partner,3,1,integration
Ageas,United Kingdom,UK,yes,Senior Data Engineer,19,12,ai; ai engineers; data engineer; data pipelines; databricks; experiment; genai; generative ai; integrations; machine learning; ml; orchestration
Ageas,United Kingdom,UK,yes,Senior Data Engineer,19,12,ai; ai engineers; data engineer; data pipelines; databricks; experiment; genai; generative ai; integrations; machine learning; ml; orchestration
Ageas,United Kingdom,UK,yes,Lead Pricing Analyst,3,3,end-to-end; machine learning; predictive modelling
Ageas,United Kingdom,UK,yes,Operational Resilience and Continuity Lead,4,2,assess; testing
Ageas,United Kingdom,UK,yes,Senior Pricing Analyst,5,5,end-to-end; explore; machine learning; neural networks; predictive modelling
Ageas,United Kingdom,UK,yes,Senior Pricing Analyst,5,5,end-to-end; explore; machine learning; neural networks; predictive modelling
Ageas,United Kingdom,UK,yes,Senior Technical Pricing Analyst,5,4,assisting; explore; investigate; machine learning
