company,tier,z_report_share,z_postings_total,divergence
Aviva,A,1.0378562936623548,-0.8979648859620666,1.94
Helvetia Baloise,B,0.6012480441782305,-1.282541805479163,1.88
AXA,A,0.4484351568587867,-1.2763306035488735,1.72
Talanx,A,0.7699375951152786,-0.8720848779191932,1.64
Zurich,A,0.9105122208961519,-0.619754799501179,1.53
Mapfre,A,0.6636206512473909,-0.787974851779855,1.45
Munich Re,A,1.0378562936623548,-0.3609547190724463,1.4
Unipol,A,0.2737918570651369,-0.6285540022357557,0.9
Allianz,A,0.5633789613148112,0.010940996503642535,0.55
Hiscox,B,0.3978282915776725,0.058042611141671745,0.34
Admiral,B,0.8615337313706891,0.5228475555916756,0.34
Gjensidige,B,0.6096443566683099,0.5086135511680954,0.1
Marshmallow,C,1.365312480775448,1.2640509859395657,0.1
Generali,A,0.19903017050963637,0.17838464854103236,0.02
VIG,B,-0.5304864972477237,-0.39925713097589877,-0.13
Sampo,B,-0.8177287666451739,-0.6326948035226155,-0.19
Ageas,B,0.2596162645494187,0.46617033797778307,-0.21
Beazley,B,-0.8177287666451739,-0.6088851961231722,-0.21
Tryg,B,-1.0475225821631342,-0.7815048497691368,-0.27
Neodigital,C,-1.545409182452048,-1.246050994138712,-0.3
Lemonade,C,0.7104001065492616,1.224195773553541,-0.51
Alm Brand Group,C,-0.8177287666451739,-0.23155467885808,-0.59
NN Group,A,0.6192097759608051,1.261721785215707,-0.64
Linea Directa Aseguradora,C,-1.1182035450822818,-0.018044612504375543,-1.1
Zego,C,1.365312480775448,2.4778233631503217,-1.11
Coface,C,-1.9092493903554848,-0.7869396514581402,-1.12
Swiss Re,A,-0.2719684547900184,1.0497645193445753,-1.32
Bolttech,C,-1.9092493903554848,-0.06980462859012211,-1.84
Wakam,C,-1.9092493903554848,2.478340963311179,-4.39
