company,n_postings,ai_signal_n,ai_title_n,ai_signal_pct,ai_title_pct
Bolttech,2,2,0,100.0,0.0
Marshmallow,13,13,4,100.0,30.8
Wakam,13,13,0,100.0,0.0
Alm Brand Group,8,8,0,100.0,0.0
Lemonade,4,4,0,100.0,0.0
Swiss Re,138,136,9,98.6,6.5
Zego,32,31,4,96.9,12.5
Allianz,1138,1065,48,93.6,4.2
Admiral,31,29,1,93.5,3.2
Ageas,14,13,3,92.9,21.4
Beazley,24,22,1,91.7,4.2
NN Group,62,56,8,90.3,12.9
Linea Directa Aseguradora,5,4,1,80.0,20.0
Munich Re,8,6,0,75.0,0.0
Unipol,113,83,6,73.5,5.3
Generali,245,178,27,72.7,11.0
Hiscox,79,56,5,70.9,6.3
VIG,22,15,5,68.2,22.7
Coface,83,41,0,49.4,0.0
Aviva,25,12,3,48.0,12.0
Gjensidige,17,8,3,47.1,17.6
Talanx,160,74,11,46.2,6.9
Zurich,56,24,0,42.9,0.0
Sampo,57,21,2,36.8,3.5
Mapfre,40,13,1,32.5,2.5
Tryg,12,3,1,25.0,8.3
Neodigital,11,2,0,18.2,0.0
Helvetia Baloise,105,14,0,13.3,0.0
AXA,467,32,0,6.9,0.0
