company,n_postings_all,low_volume_flag,density_all,z_all,minmax_all
Wakam,13,False,14.846,2.478,1.0
Zego,32,False,14.844,2.478,1.0
Marshmallow,13,False,10.154,1.264,0.677
NN Group,62,False,10.145,1.262,0.677
Lemonade,4,True,10.0,1.224,0.667
Swiss Re,138,False,9.326,1.05,0.62
Admiral,31,False,7.29,0.523,0.48
Gjensidige,17,False,7.235,0.509,0.476
Ageas,14,False,7.071,0.466,0.465
Generali,245,False,5.959,0.178,0.388
Hiscox,79,False,5.494,0.058,0.356
Allianz,1138,False,5.312,0.011,0.344
Linea Directa Aseguradora,5,True,5.2,-0.018,0.336
Bolttech,2,True,5.0,-0.07,0.322
Alm Brand Group,8,True,4.375,-0.232,0.279
Munich Re,8,True,3.875,-0.361,0.245
VIG,22,False,3.727,-0.399,0.235
Beazley,24,False,2.917,-0.609,0.179
Zurich,56,False,2.875,-0.62,0.176
Unipol,113,False,2.841,-0.629,0.174
Sampo,57,False,2.825,-0.633,0.173
Tryg,12,False,2.25,-0.782,0.133
Coface,83,False,2.229,-0.787,0.132
Mapfre,40,False,2.225,-0.788,0.132
Talanx,160,False,1.9,-0.872,0.109
Aviva,25,False,1.8,-0.898,0.102
Neodigital,11,False,0.455,-1.246,0.01
AXA,467,False,0.338,-1.276,0.002
Helvetia Baloise,105,False,0.314,-1.283,0.0
