company,n_postings_all,density_all,z_all,minmax_all,low_volume_flag
Wakam,13,14.846,2.478,1.0,False
Zego,32,14.844,2.478,1.0,False
Marshmallow,13,10.154,1.264,0.677,False
NN Group,62,10.145,1.262,0.677,False
Lemonade,4,10.0,1.224,0.667,True
Swiss Re,138,9.326,1.05,0.62,False
Admiral,31,7.29,0.523,0.48,False
Gjensidige,17,7.235,0.509,0.476,False
Ageas,14,7.071,0.466,0.465,False
Generali,245,5.959,0.178,0.388,False
Hiscox,79,5.494,0.058,0.356,False
Allianz,1138,5.312,0.011,0.344,False
Linea Directa Aseguradora,5,5.2,-0.018,0.336,True
Bolttech,2,5.0,-0.07,0.322,True
Alm Brand Group,8,4.375,-0.232,0.279,True
Munich Re,8,3.875,-0.361,0.245,True
VIG,22,3.727,-0.399,0.235,False
Beazley,24,2.917,-0.609,0.179,False
Zurich,56,2.875,-0.62,0.176,False
Unipol,113,2.841,-0.629,0.174,False
Sampo,57,2.825,-0.633,0.173,False
Tryg,12,2.25,-0.782,0.133,False
Coface,83,2.229,-0.787,0.132,False
Mapfre,40,2.225,-0.788,0.132,False
Talanx,160,1.9,-0.872,0.109,False
Aviva,25,1.8,-0.898,0.102,False
Neodigital,11,0.455,-1.246,0.01,False
AXA,467,0.338,-1.276,0.002,False
Helvetia Baloise,105,0.314,-1.283,0.0,False
