company,tier,archetype,z_report_share,z_postings_total,cluster_kmeans_k4
Zego,C,Aligned leaders,1.365312480775448,2.4778233631503217,2
Marshmallow,C,Aligned leaders,1.365312480775448,1.2640509859395657,2
Aviva,A,Talkers,1.0378562936623548,-0.8979648859620666,0
Munich Re,A,Talkers,1.0378562936623548,-0.3609547190724463,0
Zurich,A,Talkers,0.9105122208961519,-0.619754799501179,0
Admiral,B,Aligned leaders,0.8615337313706891,0.5228475555916756,2
Talanx,A,Talkers,0.7699375951152786,-0.8720848779191932,0
Lemonade,C,Aligned leaders,0.7104001065492616,1.224195773553541,2
Mapfre,A,Talkers,0.6636206512473909,-0.787974851779855,0
NN Group,A,Aligned leaders,0.6192097759608051,1.261721785215707,2
Gjensidige,B,Aligned leaders,0.6096443566683099,0.5086135511680954,2
Helvetia Baloise,B,Talkers,0.6012480441782305,-1.282541805479163,0
Allianz,A,Aligned leaders,0.5633789613148112,0.010940996503642535,0
AXA,A,Talkers,0.4484351568587867,-1.2763306035488735,0
Hiscox,B,Aligned leaders,0.3978282915776725,0.058042611141671745,0
Unipol,A,Talkers,0.2737918570651369,-0.6285540022357557,0
Ageas,B,Aligned leaders,0.2596162645494187,0.46617033797778307,2
Generali,A,Aligned leaders,0.19903017050963637,0.17838464854103236,0
Swiss Re,A,Quiet builders,-0.2719684547900184,1.0497645193445753,2
VIG,B,Laggards,-0.5304864972477237,-0.39925713097589877,1
Beazley,B,Laggards,-0.8177287666451739,-0.6088851961231722,1
Sampo,B,Laggards,-0.8177287666451739,-0.6326948035226155,1
Alm Brand Group,C,Laggards,-0.8177287666451739,-0.23155467885808,1
Tryg,B,Laggards,-1.0475225821631342,-0.7815048497691368,1
Linea Directa Aseguradora,C,Laggards,-1.1182035450822818,-0.018044612504375543,1
Neodigital,C,Laggards,-1.545409182452048,-1.246050994138712,1
Coface,C,Laggards,-1.9092493903554848,-0.7869396514581402,1
Bolttech,C,Laggards,-1.9092493903554848,-0.06980462859012211,1
Wakam,C,Quiet builders,-1.9092493903554848,2.478340963311179,3
