company,tier,n_years,years_used,total_automation_hits,agentic_share_of_automation,dim_role_evolution_per10k,dim_tech_stack_per10k,dim_governance_per10k,rep_composite,n_postings,post_density_total,z_report_share,z_report_comp,z_postings_total
Zego,C,3,"[2022, 2023, 2024]",1,1.0,0.937176176332656,0.937176176332656,0.0,-1.0174248548026243,32,14.844,1.365312480775448,-1.453537418610182,2.4778233631503217
Marshmallow,C,3,"[2023, 2024, 2025]",3,1.0,4.3633659593653205,1.45324873834698,2.4743854622667576,0.8442501426415716,13,10.154,1.365312480775448,1.206132489494341,1.2640509859395657
Aviva,A,3,"[2023, 2024, 2025]",120,0.9,0.6156667623615785,2.677453945479706,0.4715332582827172,-0.7480493679229108,25,1.8,1.0378562936623548,-1.0686958767628896,-0.8979648859620666
Munich Re,A,3,"[2023, 2024, 2025]",20,0.9,0.918678152978888,2.2347656221215133,1.0391973398179877,-0.5333157053963682,8,3.875,1.0378562936623548,-0.7619180228071876,-0.3609547190724463
Zurich,A,3,"[2023, 2024, 2025]",108,0.8611111111111112,1.4989260942739477,2.614857581823514,2.772336607973888,0.234345035885988,56,2.875,0.9105122208961519,0.33479551528344553,-0.619754799501179
Admiral,B,3,"[2023, 2024, 2025]",78,0.8461538461538461,1.2826858114543873,1.9689274721220156,1.6007041434475457,-0.2806062591456553,31,7.29,0.8615337313706891,-0.40088631178915013,0.5228475555916756
Talanx,A,3,"[2023, 2024, 2025]",11,0.8181818181818182,0.9716539687379754,1.5076141107456855,1.3946177335395205,-0.4949929747776744,160,1.9,0.7699375951152786,-0.707168502314693,-0.8720848779191932
Lemonade,C,3,"[2023, 2024, 2025]",15,0.8,4.979406015751021,0.8314237593699592,1.7768579798842397,0.7287989664084521,4,10.0,0.7104001065492616,1.0411939155198016,1.224195773553541
Mapfre,A,3,"[2023, 2024, 2025]",28,0.7857142857142857,2.2492525188994033,4.945002164599406,2.6958019023969872,0.7203691792883108,40,2.225,0.6636206512473909,1.0291507548360372,-0.787974851779855
NN Group,A,3,"[2023, 2024, 2025]",79,0.7721518987341772,2.5666443861771127,2.9892734298262,3.639129534772338,0.8712256528160522,62,10.145,0.6192097759608051,1.2446708771105093,1.261721785215707
Gjensidige,B,3,"[2023, 2024, 2025]",13,0.7692307692307693,0.6058613242124617,2.325444542129836,1.3447084091064196,-0.5179433910415817,17,7.235,0.6096443566683099,-0.7399564656269718,0.5086135511680954
Helvetia Baloise,B,3,"[2023, 2024, 2025]",30,0.7666666666666667,1.0778294819360044,3.9169573763977037,2.474203885539105,0.17629680826576485,105,0.314,0.6012480441782305,0.251865291462283,-1.282541805479163
Allianz,A,3,"[2023, 2024, 2025]",49,0.7551020408163265,1.1962857085056156,4.887500385154661,2.6913028965186685,0.40013942665899066,1138,5.312,0.5633789613148112,0.5716565961256161,0.010940996503642535
AXA,A,3,"[2023, 2024, 2025]",175,0.72,2.5886739930866005,2.7368262603577787,3.7284874298627884,0.8748282417174685,467,0.338,0.4484351568587867,1.2498176923739266,-1.2763306035488735
Hiscox,B,3,"[2023, 2024, 2025]",44,0.7045454545454546,1.7774055962299549,1.2229357171800153,1.2787035752149516,-0.32839355356330874,79,5.494,0.3978282915776725,-0.469157319954835,0.058042611141671745
Unipol,A,3,"[2023, 2024, 2025]",36,0.6666666666666666,1.3955056412887261,4.1489924518764685,2.7157598104858938,0.37553024326496653,113,2.841,0.2737918570651369,0.5364988459135932,-0.6285540022357557
Ageas,B,3,"[2023, 2024, 2025]",154,0.6623376623376623,1.618777346416817,2.6381859743153417,2.9995833800357996,0.34467801566869954,14,7.071,0.2596162645494187,0.492422011101698,0.46617033797778307
Generali,A,3,"[2023, 2024, 2025]",73,0.6438356164383562,2.6308504366780836,14.89707504766506,1.7837985098018916,1.775205415669172,245,5.959,0.19903017050963637,2.536135701044137,0.17838464854103236
Swiss Re,A,3,"[2023, 2024, 2025]",30,0.5,1.3889430427020075,4.333450979738829,2.36006744468231,0.28374874918887283,138,9.326,-0.2719684547900184,0.40537580980353916,1.0497645193445753
VIG,B,3,"[2023, 2024, 2025]",19,0.42105263157894735,1.0973309117517647,1.5528317200084172,2.030098306008838,-0.2509386627381431,22,3.727,-0.5304864972477237,-0.3585018926401706,-0.39925713097589877
Beazley,B,3,"[2023, 2024, 2025]",24,0.3333333333333333,0.8174448191688296,1.3103530964690353,1.4277811115505867,-0.5545322762323196,24,2.917,-0.8177287666451739,-0.7922289390965597,-0.6088851961231722
Sampo,B,3,"[2023, 2024, 2025]",3,0.3333333333333333,0.4449999700867484,1.7961953036195037,1.7937848638947054,-0.48878486890301026,57,2.825,-0.8177287666451739,-0.6982993321298654,-0.6326948035226155
Alm Brand Group,C,3,"[2023, 2024, 2025]",3,0.3333333333333333,0.08770317065492579,7.672120184271317,1.3310278579567874,-0.014466878545465725,8,4.375,-0.8177287666451739,-0.02066801218494191,-0.23155467885808
Tryg,B,3,"[2023, 2024, 2025]",19,0.2631578947368421,0.6419091052221021,2.788930066627067,2.1469176214637917,-0.19589203920132234,12,2.25,-1.0475225821631342,-0.27985989102085806,-0.7815048497691368
Linea Directa Aseguradora,C,3,"[2023, 2024, 2025]",178,0.24157303370786518,1.8013799441905156,3.110429252577596,3.580717866113004,0.6411792100805113,5,5.2,-1.1182035450822818,0.916016519045764,-0.018044612504375543
Neodigital,C,3,"[2022, 2023, 2024]",9,0.1111111111111111,0.0,2.396470588235294,0.0,-1.1143807499134877,11,0.455,-1.545409182452048,-1.592052829191363,-1.246050994138712
Coface,C,3,"[2023, 2024, 2025]",13,0.0,1.5684390228570337,2.6364334090405945,2.5968264991814327,0.2020050276598119,83,2.229,-1.9092493903554848,0.2885931723261101,-0.7869396514581402
Bolttech,C,2,"[2023, 2024]",0,0.0,0.0,0.0,0.0,-1.4107381204053675,2,5.0,-1.9092493903554848,-2.015441864025228,-0.06980462859012211
Wakam,C,3,"[2023, 2024, 2025]",2,0.0,0.8954457468545005,4.124845144639209,0.3581782987418002,-0.5221404126253905,13,14.846,-1.9092493903554848,-0.7459525132859058,2.478340963311179
